Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient
Query 1, 2, 20.0, -48.0
Query 2, 1, 10.0, 0
Query 3, 2, 20.0, -7.0
Query 4, 2, 20.0, -16.0
Query 6, 5, 50.0, -4.8
Query 7, 4, 40.0, -4.5
Query 8, 4, 40.0, -6.3
Query 9, 2, 20.0, -64.0
Query 10, 2, 20.0, -88.0
Query 11, 5, 50.0, -1.5
Query 12, 2, 20.0, -17.0
Query 13, 5, 50.0, -0.10000000000000009
Query 14, 2, 20.0, -4.0
Query 17, 2, 20.0, -57.0
Query 19, 3, 30.0, -5.5
Query 20, 5, 50.0, -0.55
Query 21, 2, 20.0, -9.0
Query 23, 3, 30.0, -11.75
Query 25, 3, 30.0, -4.5
Query 26, 6, 60.0, 0.4571428571428572
Query 27, 1, 10.0, 0
Query 28, 3, 30.0, -1.75
Query 29, 2, 20.0, -15.0
Query 30, 1, 10.0, 0
Query 31, 4, 40.0, -5.5
Query 32, 2, 20.0, -25.0
Query 33, 3, 30.0, -7.25
Query 34, 2, 20.0, -40.0
Query 35, 1, 10.0, 0
Query 36, 2, 20.0, -72.0
Query 37, 4, 40.0, -3.2
Query 38, 4, 40.0, -2.0
Query 39, 2, 20.0, -9.0
Query 40, 1, 10.0, 0
Query 41, 3, 30.0, -6.25
Query 42, 1, 10.0, 0
Query 43, 4, 40.0, -3.0
Query 44, 1, 10.0, 0
Query 45, 1, 10.0, 0
Query 46, 2, 20.0, -1.0
Query 47, 1, 10.0, 0
Query 48, 2, 20.0, -1.0
Query 49, 2, 20.0, -40.0
Query 50, 2, 20.0, -39.0
Query 51, 4, 40.0, -9.2
Query 52, 1, 10.0, 0
Query 53, 2, 20.0, -4.0
Query 54, 3, 30.0, -5.5
Query 55, 1, 10.0, 0
Query 56, 1, 10.0, 0
Query 57, 1, 10.0, 1
Query 59, 1, 10.0, 0
Query 61, 1, 10.0, 0
Query 62, 3, 30.0, -16.5
Query 63, 2, 20.0, -33.0
Query 64, 3, 30.0, -18.5
Query 65, 3, 30.0, -6.25
Query 66, 3, 30.0, -12.25
Query 67, 1, 10.0, 0
Query 68, 1, 10.0, 0
Query 69, 1, 10.0, 0
Query 70, 3, 30.0, -15.25
Query 71, 1, 10.0, 0
Query 72, 3, 30.0, -2.25
Query 73, 1, 10.0, 1
Query 74, 1, 10.0, 0
Query 75, 5, 50.0, -1.7000000000000002
Query 76, 2, 20.0, -19.0
Query 77, 3, 30.0, -5.5
Query 78, 2, 20.0, -33.0
Query 80, 2, 20.0, -67.0
Query 81, 5, 50.0, 0.85
Query 82, 1, 10.0, 0
Query 83, 4, 40.0, -1.2000000000000002
Query 84, 2, 20.0, -4.0
Query 85, 2, 20.0, -60.0
Query 86, 3, 30.0, -19.25
Query 87, 3, 30.0, -3.75
Query 89, 4, 40.0, -2.0
Query 90, 3, 30.0, -3.0
Query 91, 4, 40.0, -2.0
Query 93, 3, 30.0, -5.25
Query 94, 4, 40.0, -8.0
Query 97, 1, 10.0, 0
Query 98, 1, 10.0, 0
Query 99, 1, 10.0, 0
Query 100, 1, 10.0, 0
Query Averages, 2.1000000000000005, 20.999999999999996, -9.74492857142857
